          Name    4-char code  Latitude     Longitude   Elevation(m)
           Marseille  0355     43.282400      5.383817     34.000000
             Realtor  0356     43.485550      5.383817    125.000000
               Vinon  0357     43.709233      5.758650    304.000000
     Railroad_Valley  0358     38.504000   -115.962000   1435.000000
              Wan-Li  0359     25.294450    121.580900     93.300000
            Oostende  0360     51.225000      2.925000     23.000000
             Homburi  0361     15.329167     -1.546667    280.000000
        Philadelphia  0362     40.035667    -75.004667     20.000000
               Davos  0363     46.812810      9.843690   1589.000000
     Penn_State_Univ  0364     40.742100    -78.080900    401.000000
             Lochiel  0365     49.028000   -122.602000     86.000000
            Santiago  0366    -33.489633    -70.717033    510.000000
           Rochester  0367     44.233700    -77.586400     91.000000
         Big_Meadows  0368     38.521944    -78.436111   1082.000000
              Tarbes  0369     43.250000      0.083333    292.000000
            Biarritz  0370     43.483333     -1.550000     42.000000
         Pic_du_midi  0371     42.937217      0.141300   2898.000000
                CCNY  0372     40.821313    -73.949036    100.000000
           The_Hague  0373     52.110480      4.326820     18.000000
         Columbia_SC  0374     34.022803    -81.036333    104.200000
              Jabiru  0375    -12.660700    132.893100     30.000000
         Lake_Argyle  0376    -16.108100    128.748500    150.000000
   Munich_University  0377     48.148000     11.573000    533.000000
    Lecce_University  0378     40.335111     18.111389     30.000000
         Coleambally  0379    -34.810100    146.064400    127.000000
         Tarbes_Etal  0380     43.224033      0.049283    332.000000
   Kuwait_University  0381     29.325000     47.971000     42.000000
          Hermosillo  0382     29.074722   -110.960000    237.000000
             BAHRAIN  0383     26.208050     50.609267     25.000000
       Yekaterinburg  0384     57.038333     59.545000    300.000000
             Mussafa  0385     24.371667     54.466667     10.000000
          Crete_HCMR  0386     35.332694     25.282417     20.000000
               Tomsk  0387     56.475351     85.048060    174.000000
      London-UCL-UAO  0388     51.524270     -0.131101     46.605000
             Yakutsk  0389     61.661667    129.366667    118.500000
          ATHENS-NOA  0390     37.972100     23.718000    130.000000
              Dahkla  0391     23.716667    -15.950000     12.000000
           ISDGM_CNR  0392     45.436981     12.331982     20.000000
          Taipei_CWB  0393     25.014683    121.538370     26.000000
      Chen-Kung_Univ  0394     22.993419    120.204664     50.000000
       Fontainebleau  0395     48.406667      2.680278     85.000000
      Munich_Maisach  0396     48.209000     11.258000    520.000000
  Norfolk_State_Univ  0397     36.848000    -76.259000     20.000000
            Monterey  0398     36.592550   -121.854867     50.000000
